AV_x,AV_y,AV_steer,AV_vel,AV_yaw,npc_x,npc_y,Rollout_num
101.79,-133.42,0.17,1.3,0.01,127.25,-133.3,4
102.06,-133.42,-0.05,1.53,0.01,127.37,-133.31,4
102.38,-133.42,-0.01,1.68,0.01,127.67,-133.31,4
102.73,-133.44,0.02,1.85,0.01,128.06,-133.31,4
103.13,-133.42,0.07,2,0.01,128.58,-133.31,4
103.59,-133.43,-0.01,2.2,0.01,129.24,-133.31,2
104.01,-133.42,0.26,2.33,0.04,129.84,-133.31,2
104.54,-133.38,0.3,2.51,0.1,130.5,-133.31,2
105.05,-133.32,0.01,2.65,0.13,131.1,-133.31,2
105.6,-133.26,0.04,2.82,0.13,131.7,-133.32,2
106.22,-133.18,0.07,2.95,0.14,132.36,-133.32,2
106.8,-133.09,0.05,3.12,0.15,132.96,-133.32,2
107.44,-132.99,0.05,3.26,0.17,133.56,-133.33,2
108.18,-132.88,0.09,3.46,0.19,134.22,-133.34,2
108.94,-132.72,0.04,3.62,0.2,134.88,-133.34,2
109.66,-132.58,-0.01,3.78,0.21,135.48,-133.35,2
110.48,-132.39,0.05,3.97,0.22,136.14,-133.36,2
111.27,-132.22,0.02,4.15,0.22,136.74,-133.37,2
112.18,-132.04,0.01,4.31,0.23,137.4,-133.38,2
113.11,-131.8,-0.03,4.5,0.23,138.06,-133.39,1
114.02,-131.61,-0.15,4.67,0.2,138.65,-133.39,1
115.03,-131.45,-0.16,4.83,0.13,139.32,-133.4,1
119.89,-131.34,-0.11,5.05,0.03,140.28,-133.41,1
120.92,-131.33,-0.03,5.26,-0.01,140.87,-133.42,1
122.13,-131.33,0.08,5.43,0.01,141.53,-133.43,1
123.39,-131.26,0.14,5.52,0.07,142.19,-133.43,1
124.49,-131.15,0.14,5.53,0.13,142.79,-133.43,1
125.73,-130.98,0.05,5.55,0.18,143.45,-133.44,1
126.85,-130.78,-0.05,5.55,0.19,144.05,-133.44,1
127.98,-130.59,-0.1,5.55,0.16,144.65,-133.44,1
129.22,-130.43,-0.08,5.53,0.12,145.32,-133.44,1
130.36,-130.31,-0.03,5.55,0.09,145.91,-133.44,1
131.61,-130.2,-0.04,5.55,0.09,146.57,-133.44,2
132.86,-130.12,-0.13,5.52,0.06,147.23,-133.44,2
134.12,-130.07,-0.2,5.53,-0.03,147.89,-133.44,2
135.36,-130.18,-0.11,5.55,-0.11,148.55,-133.44,2
136.6,-130.33,-0.04,5.55,-0.15,149.22,-133.44,2
137.85,-130.51,0.06,5.55,-0.14,149.88,-133.44,2
139.1,-130.64,0.07,5.55,-0.11,150.53,-133.44,2
140.21,-130.74,0.07,5.52,-0.08,151.14,-133.44,2
141.49,-130.81,0.04,5.55,-0.06,151.79,-133.44,2
142.61,-130.87,0.01,5.55,-0.05,152.39,-133.44,2
143.86,-130.91,0.02,5.52,-0.04,153.05,-133.44,2
145.11,-130.95,0.02,5.52,-0.04,153.72,-133.44,2
146.36,-130.98,0.03,5.52,-0.03,154.37,-133.44,2
147.63,-131,0.01,5.55,-0.02,155.04,-133.44,2
148.87,-131.02,0.02,5.51,-0.02,155.69,-133.44,2
150.01,-131.05,0.02,5.55,-0.01,156.29,-133.44,2
151.14,-131.02,-0.01,5.55,-0.01,156.89,-133.44,2
152.38,-131.04,0.02,5.55,-0.01,157.56,-133.44,2
153.66,-131.05,-0.01,5.55,0.01,158.21,-133.44,2
154.78,-131.03,-0.01,5.53,-0.01,158.81,-133.45,2
156.05,-131.06,0.01,5.55,-0.01,159.47,-133.45,2
157.17,-131.07,0.03,5.52,-0.01,160.08,-133.45,2
158.44,-131.08,0.02,5.55,0.01,160.73,-133.45,2
159.58,-131.06,0.01,5.52,0.01,161.33,-133.45,2
160.83,-131.04,-0.01,5.55,-0.01,161.99,-133.45,2
162.09,-131.03,0.01,5.55,-0.01,162.65,-133.45,2
163.32,-131.06,0.02,5.52,0.01,163.31,-133.45,2
164.58,-131.05,-0.02,5.55,0.01,163.97,-133.45,4
165.86,-131.05,-0.11,5.55,-0.02,164.63,-133.45,4
166.99,-131.1,-0.19,5.55,-0.08,165.23,-133.45,4
168.18,-131.24,-0.16,3.87,-0.18,165.89,-133.45,4
168.98,-131.37,-0.06,2.34,-0.23,166.49,-133.45,4
169.2,-131.47,0.45,0,-0.24,167.15,-133.45,4
169.18,-131.45,-0.09,0,-0.24,167.81,-133.45,4
169.19,-131.44,-0.14,0,-0.24,168.41,-133.45,4
169.2,-131.46,-0.01,0,-0.24,169.07,-133.45,4
169.19,-131.44,-0.12,0,-0.24,169.73,-133.45,4
164.57,-131.46,0.45,0,-0.24,170.69,-133.45,4
164.66,-131.48,0.45,1.09,-0.22,171.35,-133.45,1
164.88,-131.54,0.45,1.24,-0.18,171.95,-133.45,1
165.17,-131.54,0.45,1.44,-0.12,172.61,-133.45,1
165.49,-131.58,0.45,1.59,-0.06,173.22,-133.45,1
165.84,-131.59,0.45,1.74,0.01,173.87,-133.45,1
166.19,-131.58,0.45,1.85,0.08,174.47,-133.45,1
166.63,-131.51,0.12,2.13,0.14,175.13,-133.45,1
167.06,-131.47,-0.11,2.29,0.15,175.73,-133.45,1
167.55,-131.41,-0.02,2.46,0.13,176.39,-133.45,1
168.06,-131.34,0.06,2.64,0.13,176.99,-133.45,1
168.6,-131.25,-0.02,2.81,0.13,177.6,-133.45,2
169.25,-131.2,-0.09,2.95,0.11,178.25,-133.45,1
169.84,-131.14,-0.04,3.13,0.09,178.85,-133.45,1
170.49,-131.08,-0.13,3.31,0.08,179.45,-133.45,2
171.15,-131.06,-0.14,3.45,0.05,180.06,-133.46,2
171.87,-131.04,-0.1,3.66,0.01,180.65,-133.46,2
172.69,-131.03,-0.04,3.85,-0.02,181.31,-133.46,2
173.57,-131.07,0.03,4.02,-0.02,181.97,-133.46,2
174.43,-131.06,0.01,4.23,-0.01,182.63,-133.46,2
175.38,-131.06,-0.01,4.36,-0.01,183.29,-133.46,2
176.25,-131.09,0.02,4.52,-0.01,183.89,-133.46,2
177.18,-131.07,0.02,4.69,0.01,184.49,-133.46,2
178.23,-131.05,-0.02,4.84,0.01,185.15,-133.46,2
179.22,-131.06,-0.02,4.98,0.01,185.75,-133.46,2
180.34,-131.06,-0.01,5.21,0.01,186.42,-133.46,2
181.49,-131.06,0.01,5.33,0.01,187.08,-133.46,2
182.69,-131.04,-0.01,5.53,0.01,187.73,-133.46,2
183.89,-131.06,-0.02,5.55,0.01,188.4,-133.46,2
185.11,-131.02,-0.01,5.55,-0.01,189.05,-133.46,2
186.22,-131.01,-0.01,5.55,-0.01,189.65,-133.46,2
187.44,-131.05,0.01,5.53,0.01,190.31,-133.46,2
188.65,-131.05,-0.05,5.55,-0.01,190.97,-133.46,3
189.88,-131.06,0.02,5.53,-0.02,191.63,-133.46,2
191.11,-131.09,0.03,5.55,-0.02,192.29,-133.46,2
192.21,-131.06,0.02,3.92,-0.01,192.89,-133.46,2
193.08,-131.09,-0.02,4.11,0.01,193.55,-133.46,2
194.01,-131.08,0.01,4.36,0.02,194.21,-133.46,2
194.98,-131.06,-0.03,4.53,0.02,194.87,-133.46,2
195.89,-131.04,-0.05,4.71,0.01,195.48,-133.46,2
196.85,-131.06,-0.03,4.87,-0.01,196.07,-133.46,2
197.95,-131.04,-0.02,5.08,-0.01,196.73,-133.46,2
198.96,-131.07,0.01,5.23,-0.01,197.33,-133.46,2
200.13,-131.08,-0.01,5.38,0.01,197.99,-133.46,2
201.34,-131.04,-0.03,5.55,0.01,198.65,-133.46,2
202.57,-131.06,0.02,5.55,-0.01,199.31,-133.46,2
203.76,-131.07,0.03,5.55,0.01,199.97,-133.46,2
204.99,-131.07,-0.04,5.53,0.01,200.63,-133.46,4
206.1,-131.06,-0.12,5.52,-0.03,201.23,-133.46,4
207.32,-131.14,-0.2,5.55,-0.1,201.89,-133.46,4
208.52,-131.3,-0.16,5.52,-0.19,202.55,-133.47,4
209.61,-131.55,-0.07,5.55,-0.24,203.15,-133.47,4
210.78,-131.86,0.03,5.55,-0.26,203.81,-133.47,4
211.97,-132.14,0.1,5.55,-0.23,204.47,-133.47,4
212.76,-132.31,0.09,2.29,-0.19,205.07,-133.47,4
213.13,-132.36,0.1,1.86,-0.18,205.73,-133.47,4
213.5,-132.43,0.03,1.98,-0.17,206.33,-133.47,4
213.94,-132.5,-0.04,2.18,-0.17,206.99,-133.47,4
214.43,-132.58,-0.03,2.33,-0.17,207.65,-133.47,4
214.91,-132.67,-0.1,2.51,-0.18,208.25,-133.47,4
215.46,-132.78,0.04,2.68,-0.18,208.91,-133.47,4
216.06,-132.86,0.01,2.81,-0.19,209.57,-133.47,4
216.68,-132.98,0.06,3,-0.17,210.23,-133.47,4
217.27,-133.08,0.14,3.16,-0.15,210.83,-133.47,4
217.99,-133.17,0.09,3.34,-0.11,211.49,-133.47,4
218.65,-133.24,0.05,3.49,-0.09,212.09,-133.47,4
219.42,-133.31,0.11,3.63,-0.07,212.75,-133.47,4
220.27,-133.34,0.06,3.88,-0.05,213.41,-133.47,4
221.03,-133.38,0.06,4.06,-0.04,214.01,-133.47,4
221.95,-133.38,-0.02,4.23,-0.03,214.67,-133.47,4
222.91,-133.42,0.02,4.42,-0.03,215.33,-133.47,4
223.9,-133.45,0.01,4.58,-0.02,215.99,-133.47,4
224.81,-133.46,0.01,4.74,-0.02,216.59,-133.47,4
225.85,-133.48,0.03,4.9,-0.01,217.25,-133.47,4
226.87,-133.47,-0.02,5.1,-0.01,217.85,-133.47,4
228.02,-133.48,0.01,5.29,-0.01,218.51,-133.47,4
229.19,-133.48,0.02,5.48,-0.01,219.17,-133.47,4
230.41,-133.5,0.01,5.55,0.01,219.83,-133.47,4
231.5,-133.49,-0.02,5.51,0.01,220.43,-133.47,4
232.74,-133.48,-0.01,5.52,-0.01,221.09,-133.47,4
233.95,-133.51,0.03,5.54,-0.01,221.75,-133.47,4
235.16,-133.49,0.02,5.51,0.01,222.41,-133.47,4
236.38,-133.48,0.01,5.55,0.01,223.07,-133.47,4
237.61,-133.48,-0.02,5.55,0.01,223.73,-133.47,4
238.82,-133.47,0.01,5.52,-0.01,224.39,-133.47,4
240.05,-133.49,-0.01,5.55,-0.01,225.05,-133.48,4
241.26,-133.48,0.02,5.55,-0.01,225.71,-133.48,4
242.47,-133.48,-0.01,5.55,-0.01,226.37,-133.48,4
243.58,-133.47,-0.01,5.55,0.01,226.97,-133.48,4
244.81,-133.47,-0.02,5.55,-0.01,227.63,-133.48,4
246,-133.47,-0.01,5.51,-0.01,228.29,-133.48,4
247.24,-133.49,0.01,5.55,-0.01,228.95,-133.48,4
248.33,-133.49,0.01,5.55,-0.01,229.55,-133.48,4
249.46,-133.47,-0.01,5.55,0.01,230.15,-133.48,4
250.66,-133.49,-0.01,5.55,0.01,230.81,-133.48,4
251.89,-133.49,0.02,5.52,0.01,231.47,-133.48,4
253.11,-133.48,-0.02,5.55,0.01,232.13,-133.48,4
254.23,-133.49,-0.03,5.52,-0.01,232.73,-133.48,4
255.32,-133.48,-0.01,5.53,-0.02,233.33,-133.48,4
256.52,-133.52,0.04,5.55,-0.02,233.99,-133.48,4
257.76,-133.51,0.03,5.55,0.01,234.65,-133.48,4
258.97,-133.5,-0.01,5.52,0.02,235.31,-133.48,4
260.19,-133.48,-0.03,5.54,0.01,235.97,-133.48,4
261.42,-133.48,-0.02,5.55,-0.01,236.63,-133.48,4
262.64,-133.49,0.01,5.52,-0.01,237.29,-133.48,4
263.85,-133.5,0.02,5.55,0.01,237.95,-133.48,4
265.06,-133.49,0.01,5.55,0.01,238.61,-133.48,4
266.3,-133.48,-0.02,5.55,0.01,239.27,-133.48,4
267.4,-133.48,-0.02,5.55,-0.01,239.87,-133.48,4
268.62,-133.49,-0.01,5.54,-0.01,240.53,-133.48,4